Fenotipo,Descripcion
"sapien in","sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus"
"sapien in sapien iaculis congue vivamus metus arcu","sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla"
"sapien non","proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl"
"sapien sapien non mi","ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam"
"sapien ut nunc vestibulum ante ipsum","auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi"
"sapien varius ut blandit","at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper"
"sapien varius ut blandit non","porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi"
"sapien varius ut blandit non interdum in","ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus"
"scelerisque quam turpis adipiscing lorem vitae mattis nibh","suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla"
"sed ante","odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam"
"sed ante vivamus","ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie"
"sed ante vivamus tortor duis mattis","tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl"
"sed justo pellentesque viverra pede ac diam","vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis"
"sed lacus morbi sem mauris laoreet ut rhoncus aliquet","non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque"
"sed nisl","ligula in lacus curabitur at ipsum ac tellus semper interdum"
"sed nisl nunc rhoncus dui vel","fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu"
"sed sagittis nam congue risus semper porta volutpat quam","quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget"
"sed tincidunt eu felis","fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor"
"sed tincidunt eu felis fusce posuere felis sed","elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta"
"sed tristique","lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam"
"sed tristique in","massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in"
"sed tristique in tempus sit amet sem fusce","nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula"
"sed vestibulum sit amet cursus id","fusce consequat nulla nisl nunc nisl duis bibendum felis sed"
"sem duis","amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas"
"sem duis aliquam convallis","quam pede lobortis ligula sit amet eleifend pede libero quis"
"sem fusce","ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in"
"sem fusce consequat nulla nisl","viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum"
"sem fusce consequat nulla nisl nunc nisl","nisl aenean lectus pellentesque eget nunc donec quis orci eget"
"sem fusce consequat nulla nisl nunc nisl duis","accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis"
"sem mauris laoreet","luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh"
"sem praesent id massa id nisl venenatis lacinia aenean sit","scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede"
"semper est quam","quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam"
"semper porta volutpat quam pede","ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu"
"semper porta volutpat quam pede lobortis ligula sit amet eleifend","in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien"
"Severe intestinal pseudo-obstruction	","Symptoms of intestinal pseudo-obstruction may include abdominal pain, bloating, and nausea and vomiting. Intestinal pseudo-obstruction occurs when nerve or muscle problems slow or stop the movement of food, fluid, air, and waste through your intestines."
"Severe intestinal pseudo-obstruction","Chronic intestinal pseudo-obstruction (CIPO) is a rare, severe disease characterized by the failure of the intestinal tract to propel its contents which results in a clinical picture mimicking mechanical obstruction in the absence of any lesion occluding the gut."
"sit amet","nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed"
"sit amet consectetuer","eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem"
"sit amet consectetuer adipiscing","vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id"
"sit amet consectetuer adipiscing elit proin risus","porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam"
"sit amet cursus id","cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam"
"sit amet diam in","etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis"
"sit amet nulla quisque","dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi"
"sit amet sapien dignissim vestibulum vestibulum","interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst"
"sit amet sem fusce","turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit"
"sit amet sem fusce consequat nulla nisl nunc","elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus"
"sit amet turpis elementum ligula vehicula","maecenas tristique est et tempus semper est quam pharetra magna ac"
"sit amet turpis elementum ligula vehicula consequat morbi","pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus"
"sociis natoque","neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus"
"sociis natoque penatibus et magnis","vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus"
"sodales scelerisque mauris sit amet","magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse"
"sodales sed tincidunt eu felis fusce posuere felis","nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc"
"sollicitudin ut suscipit a","ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at"
"sollicitudin ut suscipit a feugiat et eros vestibulum ac est","habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla"
"sollicitudin vitae consectetuer","interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat"
"sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt","posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta"
"suscipit ligula in lacus curabitur","interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst"
"suscipit nulla","ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu"
"suspendisse accumsan tortor","pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam"
"suspendisse potenti","purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam"
"suspendisse potenti cras in","justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus"
"suspendisse potenti cras in purus eu magna vulputate","diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante"
"suspendisse potenti in eleifend quam a odio in hac habitasse","consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus"
"suspendisse potenti nullam","pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus"
"tellus in sagittis dui vel","erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo"
"tellus nisi eu orci","tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum"
"tellus nulla ut","eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec"
"tellus nulla ut erat","iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan"
"tellus semper interdum mauris ullamcorper purus sit amet","justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum"
"tempor turpis nec euismod scelerisque quam turpis","nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla"
"tempus vivamus in felis eu sapien cursus","ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque"
"tincidunt eget","tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis"
"tincidunt eget tempus vel","adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere"
"tincidunt eu felis fusce","bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis"
"tincidunt in","libero quis orci nullam molestie nibh in lectus pellentesque at nulla"
"tincidunt in leo maecenas pulvinar lobortis","primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat"
"tincidunt lacus at","felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat"
"tortor duis","a libero nam dui proin leo odio porttitor id consequat in consequat"
"tortor id nulla ultrices","mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem"
"tortor quis","in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient"
"tortor risus dapibus","consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat"
"tortor risus dapibus augue vel accumsan","vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta"
"tortor risus dapibus augue vel accumsan tellus nisi eu","dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet"
"tortor sollicitudin mi sit amet","metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis"
"tristique est et","potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi"
"tristique in","lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede"
"tristique in tempus sit amet sem fusce consequat","posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit"
"turpis adipiscing lorem","quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer"
"turpis adipiscing lorem vitae mattis","turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non"
"turpis eget elit sodales","sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec"
"turpis eget elit sodales scelerisque mauris sit amet eros","accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo"
"turpis elementum ligula vehicula consequat morbi a","donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui"
"turpis integer aliquet massa id","erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis"
"turpis sed ante vivamus tortor duis","lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus"
"ullamcorper augue a suscipit nulla elit","interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus"
"ultrices aliquet maecenas leo odio condimentum","ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu"
"ultrices enim lorem ipsum dolor sit amet","fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse"
"ultrices erat tortor","vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non"
"ultrices erat tortor sollicitudin mi sit","ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel"
"ultrices erat tortor sollicitudin mi sit amet","nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum"
"ultrices libero non mattis","in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede"
"ultrices libero non mattis pulvinar nulla pede ullamcorper augue a","erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in"
"ultrices phasellus id sapien in sapien","vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci"
"ultrices phasellus id sapien in sapien iaculis","volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum"
"ultrices posuere cubilia curae duis faucibus accumsan odio curabitur","a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque"
"ultrices vel augue","ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum"
"ultrices vel augue vestibulum","risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula"
"ultrices vel augue vestibulum ante ipsum","aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique"
"ultrices vel augue vestibulum ante ipsum primis in faucibus","ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus"
"ultrices vel augue vestibulum ante ipsum primis in faucibus orci","donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices"
"ultricies eu nibh quisque","nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium"
"urna ut tellus nulla ut erat id mauris vulputate","donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis"
"ut at dolor quis odio consequat varius","vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in"
"ut blandit non interdum in ante","morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet"
"ut erat curabitur gravida nisi","amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet"
"ut erat id","nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque"
"ut erat id mauris vulputate elementum nullam","sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at"
"ut massa volutpat convallis morbi odio odio elementum eu","sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida"
"ut mauris eget massa tempor convallis nulla","sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante"
"ut nulla","dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis"
"ut nulla sed accumsan felis ut at dolor quis odio","etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus"
"ut nunc vestibulum","fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat"
"ut rhoncus aliquet pulvinar","primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi"
"ut suscipit","integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non"
"ut tellus nulla ut erat id mauris","id luctus nec molestie sed justo pellentesque viverra pede ac diam cras"
"ut ultrices vel augue vestibulum ante ipsum","tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante"
"varius integer ac leo pellentesque ultrices","vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque"
"vehicula condimentum curabitur in libero ut massa volutpat convallis morbi","at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci"
"vehicula consequat morbi a ipsum","vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci"
"vehicula consequat morbi a ipsum integer a nibh in quis","augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum"
"vel accumsan tellus nisi eu orci mauris lacinia sapien","nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper"
"vel accumsan tellus nisi eu orci mauris lacinia sapien quis","venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed"
"vel augue vestibulum ante ipsum primis","non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus"
"vel augue vestibulum ante ipsum primis in","orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et"
"vel est donec","turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero"
"vel est donec odio justo sollicitudin ut","orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum"
"vel est donec odio justo sollicitudin ut suscipit a","enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue"
"vel ipsum praesent blandit lacinia","interdum mauris ullamcorper purus sit amet nulla quisque arcu libero"
"vel lectus in quam fringilla rhoncus mauris","velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat"
"vel nisl duis ac nibh fusce lacus","in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi"
"vel nisl duis ac nibh fusce lacus purus aliquet","lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed"
"vel nulla eget eros elementum pellentesque quisque porta volutpat erat","pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit"
"vel pede morbi","odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id"
"vel pede morbi porttitor lorem id ligula suspendisse","erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat"
"vel sem sed sagittis nam congue risus semper porta volutpat","nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque"
"velit donec diam neque vestibulum","congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat"
"velit donec diam neque vestibulum eget vulputate ut ultrices vel","mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh"
"velit eu est","sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce"
"velit eu est congue elementum","duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non"
"velit vivamus vel","dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis"
"velit vivamus vel nulla eget","ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend"
"velit vivamus vel nulla eget eros elementum pellentesque","tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis"
"venenatis non sodales sed tincidunt eu","pede justo eu massa donec dapibus duis at velit eu est"
"venenatis tristique fusce congue diam id ornare","mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis"
"vestibulum ac est lacinia nisi venenatis","massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in"
"vestibulum ac est lacinia nisi venenatis tristique fusce congue","viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum"
"vestibulum aliquet ultrices erat tortor sollicitudin mi","justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi"
"vestibulum ante ipsum primis in","quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate"
"vestibulum ante ipsum primis in faucibus orci","lectus in est risus auctor sed tristique in tempus sit"
"vestibulum quam sapien varius ut blandit non interdum in","tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus"
"vestibulum rutrum rutrum neque aenean auctor gravida sem praesent","dictumst etiam faucibus cursus urna ut tellus nulla ut erat id"
"vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id","eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus"
"vestibulum sagittis sapien cum sociis natoque penatibus et","ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla"
"vestibulum sed","lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla"
"vestibulum sed magna","metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam"
"vestibulum sit","duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit"
"vestibulum sit amet cursus id turpis","sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit"
"vestibulum sit amet cursus id turpis integer aliquet massa id","tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras"
"Visceral myopathy","Familial visceral myopathy is a rare hereditary myopathic degeneration of both gastrointestinal and urinary tracts that causes chronic intestinal pseudo-obstruction. It usually presents after the first decade of life with megaduodenum, megacystis and symptoms such as abdominal distension and/or pain, vomiting, constipation, diarrhea, dysphagia, and/or urinary tract infections."
"vitae consectetuer eget","nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in"
"vitae consectetuer eget rutrum at lorem integer","lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed"
"vitae nisi","nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque"
"vivamus in felis eu sapien","lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id"
"vivamus metus arcu adipiscing","tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis"
"vivamus metus arcu adipiscing molestie hendrerit at vulputate","velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in"
"vivamus vestibulum sagittis sapien cum","a libero nam dui proin leo odio porttitor id consequat"
"vivamus vestibulum sagittis sapien cum sociis","ut nulla sed accumsan felis ut at dolor quis odio consequat"
"viverra dapibus","odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum"
"viverra dapibus nulla suscipit ligula in lacus curabitur","justo eu massa donec dapibus duis at velit eu est congue"
"viverra eget congue eget semper rutrum nulla nunc purus phasellus","platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante"
"volutpat convallis morbi odio odio elementum eu interdum eu","in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse"
"volutpat eleifend donec ut dolor","ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce"
"volutpat erat quisque erat eros","eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in"
"volutpat in congue etiam justo etiam pretium","nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero"
"volutpat in congue etiam justo etiam pretium iaculis justo in","id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada"
"volutpat quam","sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean"
